route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11693,302,3308341,NORTH AVE STATION,,1,7002,HV_NA,1,1
11693,302,3308342,NORTH AVE STATION,,1,7008,HV_NA,1,1
11693,302,3308343,NORTH AVE STATION,,1,7012,HV_NA,1,1
11693,302,3308344,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,302,3308345,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,302,3308346,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,302,3308347,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,302,3308348,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,302,3308349,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,302,3308350,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,302,3308351,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,302,3308352,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,302,3308353,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,302,3308354,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,302,3308355,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,302,3308356,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,302,3308357,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,302,3308358,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,302,3308359,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,302,3308360,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,302,3308361,CROMWELL STATION,,1,7001,HV_GB,1,1
11693,302,3308362,CROMWELL STATION,,1,7005,HV_GB,1,1
11693,302,3308363,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,302,3308364,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,302,3308365,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,302,3308366,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,302,3308367,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,302,3308368,NORTH AVE STATION,,1,7001,HV_NA,1,1
11693,302,3308369,NORTH AVE STATION,,1,7005,HV_NA,1,1
11693,302,3308370,NORTH AVE STATION,,1,7011,HV_NA,1,1
11693,302,3308371,CROMWELL STATION,,1,7009,HV_GB,1,1
11693,302,3308372,CROMWELL STATION,,1,7006,HV_GB,1,1
11693,302,3308373,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,302,3308374,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,302,3308375,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,302,3308376,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,302,3308377,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,302,3308378,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,302,3308379,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,302,3308380,BWI AIRPORT,,1,7008,HV_BWI,1,1
11693,302,3308381,BWI AIRPORT,,1,7012,HV_BWI,1,1
11693,302,3308382,BWI AIRPORT,,1,7010,HV_BWI,1,1
11693,302,3308383,BWI AIRPORT,,1,7007,HV_BWI,1,1
11693,302,3308384,BWI AIRPORT,,1,7004,HV_BWI,1,1
11693,302,3308385,BWI AIRPORT,,1,7002,HV_BWI,1,1
11693,303,3308837,NORTH AVE STATION,,0,7005,CAM_NA,1,1
11693,303,3308838,NORTH AVE STATION,,0,7012,BWI_NA,1,1
11693,303,3308839,NORTH AVE STATION,,0,7009,BWI_NA,1,1
11693,303,3308840,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,303,3308841,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,303,3308842,HUNT VALLEY,,0,7003,BWI_HV,1,1
11693,303,3308843,HUNT VALLEY,,0,7005,BWI_HV,1,1
11693,303,3308844,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,303,3308845,HUNT VALLEY,,0,7009,BWI_HV,1,1
11693,303,3308846,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,303,3308847,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,303,3308848,HUNT VALLEY,,0,7003,BWI_HV,1,1
11693,303,3308849,HUNT VALLEY,,0,7005,BWI_HV,1,1
11693,303,3308850,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,303,3308851,HUNT VALLEY,,0,7009,BWI_HV,1,1
11693,303,3308852,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,303,3308853,HUNT VALLEY,,0,7008,BWI_HV,1,1
11693,303,3308854,HUNT VALLEY,,0,7003,BWI_HV,1,1
11693,303,3308855,HUNT VALLEY,,0,7005,BWI_HV,1,1
11693,303,3308856,HUNT VALLEY,,0,7012,BWI_HV,1,1
11693,303,3308857,HUNT VALLEY,,0,7009,BWI_HV,1,1
11693,303,3308858,HUNT VALLEY,,0,7004,BWI_HV,1,1
11693,303,3308859,NORTH AVE STATION,,0,7002,GB_NA,1,1
11693,303,3308860,NORTH AVE STATION,,0,7010,GB_NA,1,1
11693,303,3308861,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,303,3308862,HUNT VALLEY,,0,7001,GB_HV,1,1
11693,303,3308863,HUNT VALLEY,,0,7011,GB_HV,1,1
11693,303,3308864,HUNT VALLEY,,0,7007,GB_HV,1,1
11693,303,3308865,HUNT VALLEY,,0,7002,GB_HV,1,1
11693,303,3308866,HUNT VALLEY,,0,7010,GB_HV,1,1
11693,303,3308867,HUNT VALLEY,,0,7006,GB_HV,1,1
11693,303,3308868,HUNT VALLEY,,0,7001,GB_HV,1,1
