trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
3308872,15:04:00,15:04:00,7645,16,,0,0,16.4422,0
3308872,15:06:00,15:06:00,7646,17,,0,0,16.9159,0
3308872,15:08:00,15:08:00,7648,18,,0,0,17.4115,1
3308872,15:09:00,15:09:00,7649,19,,1,1,17.5250,0
3308872,15:12:00,15:12:00,7650,20,,0,0,20.4141,0
3308872,15:14:00,15:14:00,7651,21,,0,0,21.9661,0
3308872,15:18:00,15:18:00,7652,22,,0,0,24.7226,0
3308872,15:19:00,15:19:00,7654,23,,0,0,25.8232,0
3308872,15:26:00,15:26:00,7655,24,,0,0,32.7440,0
3308872,15:28:00,15:28:00,7656,25,,0,0,33.2614,0
3308872,15:30:00,15:30:00,7657,26,,0,0,34.9715,1
3308872,15:35:00,15:35:00,7658,27,,0,0,38.8566,0
3308872,15:38:00,15:38:00,7659,28,,0,0,40.1749,0
3308872,15:40:00,15:40:00,7660,29,,0,0,41.1329,0
3308872,15:43:00,15:43:00,7661,30,,0,0,41.6244,0
3308872,15:45:00,15:45:00,7662,31,,1,0,42.2882,1
3308873,13:58:00,13:58:00,7625,1,,0,1,0.0813,1
3308873,14:00:00,14:00:00,7626,2,,0,0,1.4841,0
3308873,14:03:00,14:03:00,7630,3,,0,0,4.0478,0
3308873,14:06:00,14:06:00,7631,4,,0,0,5.6132,1
3308873,14:08:00,14:08:00,7632,5,,0,0,6.6055,0
3308873,14:10:00,14:10:00,7634,6,,0,0,8.2029,0
3308873,14:12:00,14:12:00,7635,7,,0,0,9.0098,0
3308873,14:14:00,14:14:00,7637,8,,0,0,10.7426,0
3308873,14:16:00,14:16:00,7638,9,,0,0,11.4662,0
3308873,14:19:00,14:19:00,7639,10,,0,0,13.7097,0
3308873,14:21:00,14:21:00,7640,11,,0,0,14.1807,1
3308873,14:23:00,14:23:00,7641,12,,0,0,14.4571,0
3308873,14:25:31,14:25:31,7642,13,,0,0,14.8011,0
3308873,14:28:00,14:28:00,7643,14,,0,0,15.1781,1
3308873,14:31:00,14:31:00,7644,15,,0,0,15.6886,0
3308873,14:34:00,14:34:00,7645,16,,0,0,16.4422,0
3308873,14:36:00,14:36:00,7646,17,,0,0,16.9159,0
3308873,14:38:00,14:38:00,7648,18,,0,0,17.4115,1
3308873,14:39:00,14:39:00,7649,19,,1,1,17.5250,0
3308873,14:42:00,14:42:00,7650,20,,0,0,20.4141,0
3308873,14:44:00,14:44:00,7651,21,,0,0,21.9661,0
3308873,14:48:00,14:48:00,7652,22,,0,0,24.7226,0
3308873,14:49:00,14:49:00,7654,23,,0,0,25.8232,0
3308873,14:56:00,14:56:00,7655,24,,0,0,32.7440,0
3308873,14:58:00,14:58:00,7656,25,,0,0,33.2614,0
3308873,15:00:00,15:00:00,7657,26,,0,0,34.9715,1
3308873,15:05:00,15:05:00,7658,27,,0,0,38.8566,0
3308873,15:08:00,15:08:00,7659,28,,0,0,40.1749,0
3308873,15:10:00,15:10:00,7660,29,,0,0,41.1329,0
3308873,15:13:00,15:13:00,7661,30,,0,0,41.6244,0
3308873,15:15:00,15:15:00,7662,31,,1,0,42.2882,1
3308874,13:28:00,13:28:00,7625,1,,0,1,0.0813,1
3308874,13:30:00,13:30:00,7626,2,,0,0,1.4841,0
3308874,13:33:00,13:33:00,7630,3,,0,0,4.0478,0
3308874,13:36:00,13:36:00,7631,4,,0,0,5.6132,1
3308874,13:38:00,13:38:00,7632,5,,0,0,6.6055,0
3308874,13:40:00,13:40:00,7634,6,,0,0,8.2029,0
3308874,13:42:00,13:42:00,7635,7,,0,0,9.0098,0
3308874,13:44:00,13:44:00,7637,8,,0,0,10.7426,0
3308874,13:46:00,13:46:00,7638,9,,0,0,11.4662,0
3308874,13:49:00,13:49:00,7639,10,,0,0,13.7097,0
3308874,13:51:00,13:51:00,7640,11,,0,0,14.1807,1
3308874,13:53:00,13:53:00,7641,12,,0,0,14.4571,0
3308874,13:55:31,13:55:31,7642,13,,0,0,14.8011,0
3308874,13:58:00,13:58:00,7643,14,,0,0,15.1781,1
3308874,14:01:00,14:01:00,7644,15,,0,0,15.6886,0
3308874,14:04:00,14:04:00,7645,16,,0,0,16.4422,0
3308874,14:06:00,14:06:00,7646,17,,0,0,16.9159,0
3308874,14:08:00,14:08:00,7648,18,,0,0,17.4115,1
3308874,14:09:00,14:09:00,7649,19,,1,1,17.5250,0
3308874,14:12:00,14:12:00,7650,20,,0,0,20.4141,0
3308874,14:14:00,14:14:00,7651,21,,0,0,21.9661,0
3308874,14:18:00,14:18:00,7652,22,,0,0,24.7226,0
3308874,14:19:00,14:19:00,7654,23,,0,0,25.8232,0
3308874,14:26:00,14:26:00,7655,24,,0,0,32.7440,0
3308874,14:28:00,14:28:00,7656,25,,0,0,33.2614,0
3308874,14:30:00,14:30:00,7657,26,,0,0,34.9715,1
3308874,14:35:00,14:35:00,7658,27,,0,0,38.8566,0
3308874,14:38:00,14:38:00,7659,28,,0,0,40.1749,0
3308874,14:40:00,14:40:00,7660,29,,0,0,41.1329,0
3308874,14:43:00,14:43:00,7661,30,,0,0,41.6244,0
3308874,14:45:00,14:45:00,7662,31,,1,0,42.2882,1
3308875,12:58:00,12:58:00,7625,1,,0,1,0.0813,1
3308875,13:00:00,13:00:00,7626,2,,0,0,1.4841,0
3308875,13:03:00,13:03:00,7630,3,,0,0,4.0478,0
3308875,13:06:00,13:06:00,7631,4,,0,0,5.6132,1
3308875,13:08:00,13:08:00,7632,5,,0,0,6.6055,0
3308875,13:10:00,13:10:00,7634,6,,0,0,8.2029,0
3308875,13:12:00,13:12:00,7635,7,,0,0,9.0098,0
3308875,13:14:00,13:14:00,7637,8,,0,0,10.7426,0
3308875,13:16:00,13:16:00,7638,9,,0,0,11.4662,0
3308875,13:19:00,13:19:00,7639,10,,0,0,13.7097,0
3308875,13:21:00,13:21:00,7640,11,,0,0,14.1807,1
3308875,13:23:00,13:23:00,7641,12,,0,0,14.4571,0
3308875,13:25:31,13:25:31,7642,13,,0,0,14.8011,0
3308875,13:28:00,13:28:00,7643,14,,0,0,15.1781,1
3308875,13:31:00,13:31:00,7644,15,,0,0,15.6886,0
3308875,13:34:00,13:34:00,7645,16,,0,0,16.4422,0
3308875,13:36:00,13:36:00,7646,17,,0,0,16.9159,0
3308875,13:38:00,13:38:00,7648,18,,0,0,17.4115,1
3308875,13:39:00,13:39:00,7649,19,,1,1,17.5250,0
3308875,13:42:00,13:42:00,7650,20,,0,0,20.4141,0
3308875,13:44:00,13:44:00,7651,21,,0,0,21.9661,0
3308875,13:48:00,13:48:00,7652,22,,0,0,24.7226,0
3308875,13:49:00,13:49:00,7654,23,,0,0,25.8232,0
3308875,13:56:00,13:56:00,7655,24,,0,0,32.7440,0
3308875,13:58:00,13:58:00,7656,25,,0,0,33.2614,0
3308875,14:00:00,14:00:00,7657,26,,0,0,34.9715,1
3308875,14:05:00,14:05:00,7658,27,,0,0,38.8566,0
3308875,14:08:00,14:08:00,7659,28,,0,0,40.1749,0
3308875,14:10:00,14:10:00,7660,29,,0,0,41.1329,0
3308875,14:13:00,14:13:00,7661,30,,0,0,41.6244,0
3308875,14:15:00,14:15:00,7662,31,,1,0,42.2882,1
3308876,12:28:00,12:28:00,7625,1,,0,1,0.0813,1
3308876,12:30:00,12:30:00,7626,2,,0,0,1.4841,0
3308876,12:33:00,12:33:00,7630,3,,0,0,4.0478,0
3308876,12:36:00,12:36:00,7631,4,,0,0,5.6132,1
3308876,12:38:00,12:38:00,7632,5,,0,0,6.6055,0
3308876,12:40:00,12:40:00,7634,6,,0,0,8.2029,0
3308876,12:42:00,12:42:00,7635,7,,0,0,9.0098,0
3308876,12:44:00,12:44:00,7637,8,,0,0,10.7426,0
3308876,12:46:00,12:46:00,7638,9,,0,0,11.4662,0
3308876,12:49:00,12:49:00,7639,10,,0,0,13.7097,0
3308876,12:51:00,12:51:00,7640,11,,0,0,14.1807,1
3308876,12:53:00,12:53:00,7641,12,,0,0,14.4571,0
3308876,12:55:31,12:55:31,7642,13,,0,0,14.8011,0
3308876,12:58:00,12:58:00,7643,14,,0,0,15.1781,1
3308876,13:01:00,13:01:00,7644,15,,0,0,15.6886,0
3308876,13:04:00,13:04:00,7645,16,,0,0,16.4422,0
3308876,13:06:00,13:06:00,7646,17,,0,0,16.9159,0
3308876,13:08:00,13:08:00,7648,18,,0,0,17.4115,1
3308876,13:09:00,13:09:00,7649,19,,1,1,17.5250,0
3308876,13:12:00,13:12:00,7650,20,,0,0,20.4141,0
3308876,13:14:00,13:14:00,7651,21,,0,0,21.9661,0
3308876,13:18:00,13:18:00,7652,22,,0,0,24.7226,0
3308876,13:19:00,13:19:00,7654,23,,0,0,25.8232,0
3308876,13:26:00,13:26:00,7655,24,,0,0,32.7440,0
3308876,13:28:00,13:28:00,7656,25,,0,0,33.2614,0
3308876,13:30:00,13:30:00,7657,26,,0,0,34.9715,1
3308876,13:35:00,13:35:00,7658,27,,0,0,38.8566,0
3308876,13:38:00,13:38:00,7659,28,,0,0,40.1749,0
3308876,13:40:00,13:40:00,7660,29,,0,0,41.1329,0
3308876,13:43:00,13:43:00,7661,30,,0,0,41.6244,0
3308876,13:45:00,13:45:00,7662,31,,1,0,42.2882,1
3308877,11:58:00,11:58:00,7625,1,,0,1,0.0813,1
3308877,12:00:00,12:00:00,7626,2,,0,0,1.4841,0
3308877,12:03:00,12:03:00,7630,3,,0,0,4.0478,0
3308877,12:06:00,12:06:00,7631,4,,0,0,5.6132,1
3308877,12:08:00,12:08:00,7632,5,,0,0,6.6055,0
3308877,12:10:00,12:10:00,7634,6,,0,0,8.2029,0
3308877,12:12:00,12:12:00,7635,7,,0,0,9.0098,0
3308877,12:14:00,12:14:00,7637,8,,0,0,10.7426,0
3308877,12:16:00,12:16:00,7638,9,,0,0,11.4662,0
3308877,12:19:00,12:19:00,7639,10,,0,0,13.7097,0
3308877,12:21:00,12:21:00,7640,11,,0,0,14.1807,1
3308877,12:23:00,12:23:00,7641,12,,0,0,14.4571,0
3308877,12:25:31,12:25:31,7642,13,,0,0,14.8011,0
3308877,12:28:00,12:28:00,7643,14,,0,0,15.1781,1
3308877,12:31:00,12:31:00,7644,15,,0,0,15.6886,0
3308877,12:34:00,12:34:00,7645,16,,0,0,16.4422,0
3308877,12:36:00,12:36:00,7646,17,,0,0,16.9159,0
3308877,12:38:00,12:38:00,7648,18,,0,0,17.4115,1
3308877,12:39:00,12:39:00,7649,19,,1,1,17.5250,0
3308877,12:42:00,12:42:00,7650,20,,0,0,20.4141,0
3308877,12:44:00,12:44:00,7651,21,,0,0,21.9661,0
3308877,12:48:00,12:48:00,7652,22,,0,0,24.7226,0
3308877,12:49:00,12:49:00,7654,23,,0,0,25.8232,0
3308877,12:56:00,12:56:00,7655,24,,0,0,32.7440,0
3308877,12:58:00,12:58:00,7656,25,,0,0,33.2614,0
3308877,13:00:00,13:00:00,7657,26,,0,0,34.9715,1
3308877,13:05:00,13:05:00,7658,27,,0,0,38.8566,0
3308877,13:08:00,13:08:00,7659,28,,0,0,40.1749,0
3308877,13:10:00,13:10:00,7660,29,,0,0,41.1329,0
3308877,13:13:00,13:13:00,7661,30,,0,0,41.6244,0
3308877,13:15:00,13:15:00,7662,31,,1,0,42.2882,1
3308878,11:28:00,11:28:00,7625,1,,0,1,0.0813,1
3308878,11:30:00,11:30:00,7626,2,,0,0,1.4841,0
3308878,11:33:00,11:33:00,7630,3,,0,0,4.0478,0
3308878,11:36:00,11:36:00,7631,4,,0,0,5.6132,1
3308878,11:38:00,11:38:00,7632,5,,0,0,6.6055,0
3308878,11:40:00,11:40:00,7634,6,,0,0,8.2029,0
3308878,11:42:00,11:42:00,7635,7,,0,0,9.0098,0
3308878,11:44:00,11:44:00,7637,8,,0,0,10.7426,0
3308878,11:46:00,11:46:00,7638,9,,0,0,11.4662,0
3308878,11:49:00,11:49:00,7639,10,,0,0,13.7097,0
3308878,11:51:00,11:51:00,7640,11,,0,0,14.1807,1
3308878,11:53:00,11:53:00,7641,12,,0,0,14.4571,0
3308878,11:55:31,11:55:31,7642,13,,0,0,14.8011,0
3308878,11:58:00,11:58:00,7643,14,,0,0,15.1781,1
3308878,12:01:00,12:01:00,7644,15,,0,0,15.6886,0
3308878,12:04:00,12:04:00,7645,16,,0,0,16.4422,0
3308878,12:06:00,12:06:00,7646,17,,0,0,16.9159,0
3308878,12:08:00,12:08:00,7648,18,,0,0,17.4115,1
3308878,12:09:00,12:09:00,7649,19,,1,1,17.5250,0
3308878,12:12:00,12:12:00,7650,20,,0,0,20.4141,0
3308878,12:14:00,12:14:00,7651,21,,0,0,21.9661,0
3308878,12:18:00,12:18:00,7652,22,,0,0,24.7226,0
3308878,12:19:00,12:19:00,7654,23,,0,0,25.8232,0
3308878,12:26:00,12:26:00,7655,24,,0,0,32.7440,0
3308878,12:28:00,12:28:00,7656,25,,0,0,33.2614,0
3308878,12:30:00,12:30:00,7657,26,,0,0,34.9715,1
3308878,12:35:00,12:35:00,7658,27,,0,0,38.8566,0
